"","name..1...2.","max.sylen..rm.na...TRUE.","min.sylen..rm.na...TRUE.","mean.sylen..rm.na...TRUE.","sd.sylen.","rate","mean.anasyl.dom..rm.na...TRUE.","max.anasyl.dom..rm.na...TRUE.","min.anasyl.dom..rm.na...TRUE.","sd.anasyl.dom.","mean.anasyl.harmonics..rm.na...TRUE.","max.anasyl.harmonics..rm.na...TRUE.","min.anasyl.harmonics..rm.na...TRUE.","sd.anasyl.harmonics.","mean.anasyl.HNR..rm.na...TRUE.","max.anasyl.HNR..rm.na...TRUE.","min.anasyl.HNR..rm.na...TRUE.","sd.anasyl.HNR.","mean.anasyl.f1_freq..rm.na...TRUE.","max.anasyl.f1_freq..rm.na...TRUE.","min.anasyl.f1_freq..rm.na...TRUE.","sd.anasyl.f1_freq.","mean.anasyl.f2_freq..rm.na...TRUE.","max.anasyl.f2_freq..rm.na...TRUE.","min.anasyl.f2_freq..rm.na...TRUE.","sd.anasyl.f2_freq.","mean.anasyl.f3_freq..rm.na...TRUE.","max.anasyl.f3_freq..rm.na...TRUE.","min.anasyl.f3_freq..rm.na...TRUE.","sd.anasyl.f3_freq.","mean.anasyl.entropy..rm.na...TRUE.","max.anasyl.entropy..rm.na...TRUE.","min.anasyl.entropy..rm.na...TRUE.","sd.anasyl.entropy.","mean.anasyl.specSlope..rm.na...TRUE.","max.anasyl.specSlope..rm.na...TRUE.","min.anasyl.specSlope..rm.na...TRUE.","sd.anasyl.specSlope."
"50"," Bécasseau variable ",1664,1,250,265.677316238395,0.00176917138445703,610.78161233168,3468.14415331055,1,912.028194635862,5.89119402345608,19.6393468931214,-10.264181654531,5.87159551434299,12.0854836078985,37.9810768541664,-1.20774905964397,4.51642470830007,1465.64800875274,6925.44,1,1011.33369791323,3287.24800875274,16614.77,1,2050.7305303923,5272.75181619256,19016.89,1,3076.49031915385,0.194794502473253,1,0.0292868556888376,0.110001322427581,-0.00040087112396055,1,-0.00193546026121444,0.000392658028554345
"51"," Guillemot marmette ",336,1,309.333333333333,25.3747667551603,0.000521425862722791,2772.84668821118,3368.05334739414,1,365.756622468241,-1.99403429619946,18.8068694754233,-10.817231782981,7.35520729105054,17.2216723407647,34.8667098583229,1,6.37817365053258,1697.34977777778,3234.93,1,613.845401411184,2732.29422222222,3337.72,1,364.854179315511,3314.61988888889,5901.12,1,734.648075545179,0.142204458737829,1,0.0499957976771075,0.0666233275877742,-0.000224503362230152,1,-0.00111630383560431,0.000202072892019616
"52"," Aigrette neigeuse ",480,1,460,28.2842712474619,0.000307881773399015,376.583462409151,1305.54211843203,1,258.441107194307,16.0986332085342,18.6709381479634,1,1.40287819209609,1.2379150761354,3.80592155450112,-2.42863953183409,1.52522797405704,1369.60857142857,1539.3,1,65.3161485366664,2054.30285714286,2584.47,1,413.146487470538,2729.53828571429,5276.79,1,484.775909215586,0.392293277773701,1,0.294821701261245,0.0792001964669998,-0.00134710741522561,1,-0.00263458542903848,0.00045872977224255
"53"," Aigrette garzette ",560,1,446.857142857143,146.528073045667,0.00077720207253886,706.022874655597,1346.21906788252,1,283.758169422334,15.6259083120251,19.1064563124836,1,2.01551666572156,0.995273430189155,4.44224904432077,-3.27386110755377,1.70552131404447,1390.02480769231,1787.58,1,273.938953014359,2104.81817307692,3151.45,1,582.948483270276,3057.64673076923,5953.9,1,778.221671480577,0.427099575464215,1,0.309492847569044,0.0612331501937713,-0.00113614308335979,1,-0.00169687899240858,0.000249133209867605
"54"," American Dipper ",559.999999999998,1,147.272727272727,112.904232651077,0.00204450361354127,704.779988823887,2727.47218952907,1,337.130824276079,12.4968601224281,26.2668614438503,1,3.91789695413157,4.1650367766632,11.7284450227796,-3.21891109347419,4.0457598379091,1023.84214285714,4803.47,1,338.929452105785,2302.40614285714,6927.5,1,960.264011528503,3843.09064285714,13743.85,1,1586.39337951851,0.49300036744919,1,0.338608127978983,0.0689479943583299,2.20567286222611e-05,1,-0.000659677637118192,0.000510388601238226
"55","_Grebe_a_cou_noir_",272,1,150.4,111.197122264922,0.000469924812030075,1512.36980570378,2567.32690006281,1,556.606482590546,8.03135465705855,11.6991219890601,1,2.04747561257119,13.790408583524,18.8111293709244,1,4.19220562849471,1311.724,1403.78,1,48.6254675384549,1819.017,1980.95,1,63.9848230355363,3202.782,3696.87,1,540.803807962432,0.188254042899265,1,0.145784273275715,0.0328808462942197,-0.000161376140540845,1,-0.000222952238746045,6.50479837691966e-05
"56"," Eurasian Jay ",1056,1,330.133333333333,264.254283667799,0.000976825653462678,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA
"57"," Phainopepla ",592,1,186.25,125.725507458934,0.000541503633314701,1731.29562653978,3006.25104253545,1,369.630389158444,6.84257940254188,26.3007430629481,-12.328599476966,14.2287343949404,12.5273739655082,30.2092474725158,-4.99333658041499,11.021773887189,1663.57824884793,2820.17,1,332.959665563698,2113.04382488479,5440,1,471.689435689757,3272.95400921659,14630.63,1,1040.46937065952,0.178670598960813,1,0.0448814751666748,0.0923671910193039,-0.00094589194062169,1,-0.00259806141472424,0.000570783516834748
"58"," Cedar Waxwing ",856,1,461.333333333333,364.973058366413,0.00625,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA
"59","_Colin_de_Gambel_",600,1,594,4,0.000113912515188335,688.36177583884,765.316930775646,1,48.2702186749824,10.7652477862504,14.9318269539365,1,1.30954046224771,17.4614848070118,24.5273035170659,1,3.2671455503205,1014.87153846154,1408.23,1,269.605924758962,1692.89076923077,2151.52,1,261.797601483012,3025.20320512821,12558.19,1,1418.80629762047,0.240321581321546,1,0.137766938406912,0.0628785406593166,-0.00106607535722263,1,-0.00202991261459761,0.000476307571295932
"60"," Guillemot à miroir ",1248,1,368.301886792453,325.597060142279,0.00121928343650347,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA
"61"," Black Caracara ",1040,1,722,220,0.000916870415647922,1220.74809332301,1466.32803498222,1,160.993637190283,19.2219439307848,28.0162945353046,1,4.20389815516799,2.9446550552863,12.2326837510471,-2.66920904798703,2.73572723548652,1320.93928571429,2526.24,1,193.151541083442,2228.24107142857,4373.15,1,273.184714025547,2884.77348214286,6152.95,1,537.103412932054,0.458265255547711,1,0.234004907478251,0.0752130721764848,0.000100222615880879,1,-0.000431939895820882,0.000243943124732662
"62"," Plongeon catmarin ",224,1,165.333333333333,48.4974226119286,0.000338409475465313,1117.57413311721,1346.21906788252,1,186.597677355272,17.6473979389202,23.919292276573,1,4.65137330881729,4.86949670087452,9.09436089264746,-1.00993254400721,1.84288502533856,1131.86875,1246.76,1,65.1421018781001,1405.216875,1551.47,1,68.6475834895272,2333.70625,7576.53,1,1379.52894031716,0.17177009465303,1,0.101298709334332,0.0404617619869145,-0.00120973506495332,1,-0.00272076587114412,0.00070104249029323
"63","_Grebe_jougris_",1040,1,320,395.656416604104,0.00511695906432748,365.016386133152,525.474459367907,1,105.635444275438,9.27810174085375,14.3929128664384,1,2.44017272801057,-0.228892153270134,8.61229240531563,-4.71653278144215,3.68918456014639,1061.7475,2448.24,1,503.548798474548,2255.526875,3633.24,1,487.101102338721,3105.940625,5617.91,1,763.464642538244,0.503684137273767,1,0.390795582053707,0.0521772763986304,-0.000745395764936419,1,-0.0018964965378475,0.00033503660123464
"64"," American Tree Sparrow ",424,1,147.555555555555,99.3104430690152,0.00428194993412385,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA
"65"," Huîtrier pie ",144,1,115.428571428571,18.8588743793775,0.000628614533568016,2551.25598192974,2827.56299544549,1,236.498159507102,11.7921747918396,28.1729868877132,1,6.41325160477327,9.03874688070949,23.4300254005724,-0.975490515175162,6.30660682401866,2162.34323943662,2769.21,1,414.68224431235,2545.84577464789,3120.42,1,222.789218761091,4016.45295774648,5549.14,1,953.722119973549,0.179823068321489,1,0.0385647301105751,0.118968652346834,0.000894935837985277,1,7.32171596375403e-05,0.000585961598223422
"66","_Faisan_de_Colchide_",879.999999999999,1,289.00283446712,292.957584787877,0.00108024691358025,691.832281615192,945.855844216856,1,224.072090062977,6.90448214972664,14.1993346111461,-4.44075452945855,4.92548731549872,4.67145351886562,10.9127879558426,-0.0624317385121584,2.75160063370761,882.56275862069,984.65,1,45.4751465792464,1846.59379310345,2121.5,1,131.975582871925,3028.05689655172,3562.38,1,401.1669399577,0.341286456819691,1,0.165441445494047,0.0688840364048886,-0.000705552539698623,1,-0.00157941560173768,0.000270359682848523
"67","_Grebe_esclavon_",520,1,332.631578947368,154.075093713825,0.00108017282765242,882.377201517234,2046.85470929744,1,439.323868456559,10.6965342331082,23.792007670106,-6.5126395016336,4.63649959898634,6.71204735532285,19.5465581317959,-6.25707134161465,6.29846862423498,1033.32377192982,1936.31,1,133.067683455296,1997.61283625731,6073.79,1,337.509623909484,3602.47365497076,18006.03,1,2292.37697004719,0.34083658736934,1,0.155205693181166,0.105480318456189,-0.00102847618021851,1,-0.00276106759516845,0.00044819833107284
"68"," Balbuzard pêcheur ",320,1,243,93.4088721230716,0.00239583333333333,3140.74497485577,3486.45120934112,1,227.648806202888,1.20868371157707,21.5250109245839,-10.5793022611914,9.06408420216074,23.4233021156241,42.9127014918938,-1.72018174676888,7.47509123422922,2208.10065088757,3402.16,1,728.02205850783,3095.08686390533,3542.7,1,277.62124337243,3762.10473372781,6429.8,1,826.33319699215,0.129230414114555,1,0.0650986672736207,0.051391683264033,0.000177780958928171,1,-0.000307421707534062,0.000256885592620193
"69"," Pluvier grand gravelot ",568,1,264,131.098852363051,0.00119565217391304,2390.19592657747,2846.18432026689,1,320.16919843635,-1.57845176942849,22.6411236814801,-12.8694617540653,10.3502568283655,16.9103804315806,31.2820544598116,-2.35571411554035,8.6070914354997,1557.80823529412,2708.92,1,559.941615030951,2437.04109243697,3303.44,1,252.570503960439,2873.86899159664,5264.05,1,542.701715770891,0.191218599436989,1,0.0561151908360749,0.0920751047611192,-0.00049369847341606,1,-0.0014826905742574,0.000308385205320495
"70"," Galah ",136,1,123.636363636364,9.70847801947067,0.00899280575539569,2297.09179998483,3206.33444537114,1,679.164590650948,17.1949335765918,24.8410682377554,-4.49043364777975,5.23389881240595,2.47890241079975,9.31478228536387,-4.00962206902297,2.97228747930116,1522.71090909091,2750.81,1,416.65206566998,2858.68681818182,4124.41,1,480.287749325788,3707.85113636364,5228.61,1,454.167372279058,0.365583300396097,1,0.188065527469255,0.0833975041414458,0.000613759257879574,1,-6.82329621999829e-05,0.000447162288802532
